epoch,accuracy,loss,val_accuracy,val_loss
0,0.25423178,1.9282646742131975,0.3671875,1.7195791006088257
1,0.36501735,1.6431019653876622,0.53515625,1.3994665890932083
2,0.44281685,1.4615373197529051,0.5615234375,1.2729180455207825
3,0.4794922,1.3482643448644214,0.4404296875,1.3820095658302307
4,0.507487,1.2896249890327454,0.5341796875,1.2305333316326141
5,0.5286458,1.2331174347135756,0.5927734375,1.1070576906204224
6,0.54014754,1.2005637751685247,0.5546875,1.1654436886310577
7,0.5604384,1.1497182084454431,0.57421875,1.1232406944036484
